repo_name,repo_owner,full_name,repo_url,description,created_at,updated_at,topics,stars_count,forks_count,prs_opened_count,prs_merged_count,commits_count,contributors_count,active_days,time_to_first_response,time_to_merge,release_count
ChatGPT,lencx,lencx/ChatGPT,https://github.com/lencx/ChatGPT,"🔮 ChatGPT Desktop Application (Mac, Windows and Linux)",2022-12-07T09:43:02Z,2025-11-06T21:08:46Z,"ai,app,application,chatgpt,desktop-app,gpt,gpt-3,linux,macos,notes-app,openai,rust,tauri,webview,windows",54212,6193,182,123,635,31,108,292.81,22.71,34
developer-roadmap,kamranahmedse,kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",2017-03-15T13:45:52Z,2025-11-06T22:38:25Z,"angular-roadmap,backend-roadmap,blockchain-roadmap,computer-science,dba-roadmap,developer-roadmap,devops-roadmap,frontend-roadmap,go-roadmap,java-roadmap,javascript-roadmap,nodejs-roadmap,python-roadmap,qa-roadmap,react-roadmap,roadmap,software-architect-roadmap,vue-roadmap",342908,43306,5586,3842,7181,1475,1163,1665.87,205.05,1
system-design-primer,donnemartin,donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,2017-02-26T16:15:28Z,2025-11-06T22:48:08Z,"design,design-patterns,design-system,development,interview,interview-practice,interview-questions,programming,python,system,web,web-application,webapp",325695,53061,613,203,336,127,171,1894.06,974.46,0
tensorflow,tensorflow,tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,An Open Source Machine Learning Framework for Everyone,2015-11-07T01:19:20Z,2025-11-06T22:32:06Z,"deep-learning,deep-neural-networks,distributed,machine-learning,ml,neural-network,python,tensorflow",192328,74960,60884,38481,186903,4964,3644,75.97,188.46,219
Python,TheAlgorithms,TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,All Algorithms implemented in Python,2016-07-16T09:44:01Z,2025-11-06T22:32:07Z,"algorithm,algorithm-competitions,algorithms-implemented,algos,community-driven,education,hacktoberfest,interview,learn,practice,python,searches,sorting-algorithms,sorts",212568,49163,11568,3037,3616,1307,1314,319.83,394.32,0
bootstrap,twbs,twbs/bootstrap,https://github.com/twbs/bootstrap,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",2011-07-29T21:19:00Z,2025-11-06T22:01:38Z,"bootstrap,css,css-framework,html,javascript,sass,scss",173674,79163,15794,9026,23158,1649,3472,308.22,301.95,94
javascript-algorithms,trekhleb,trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,2018-03-24T07:47:04Z,2025-11-06T22:55:42Z,"algorithm,algorithms,computer-science,data-structures,interview,interview-preparation,javascript,javascript-algorithms",193894,30939,795,302,1127,219,241,458.96,2233.33,0
vue,vuejs,vuejs/vue,https://github.com/vuejs/vue,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",2013-07-29T03:24:51Z,2025-11-06T20:52:50Z,"framework,frontend,javascript,vue",209666,33800,2601,1136,3593,381,774,185.67,660.69,249
vite,vitejs,vitejs/vite,https://github.com/vitejs/vite,Next generation frontend tooling. It's fast!,2020-04-21T05:03:57Z,2025-11-06T21:27:52Z,"build-tool,dev-server,frontend,hmr,vite",76405,7447,7540,5757,8274,1190,1512,169.68,234.7,627
transformers,huggingface,huggingface/transformers,https://github.com/huggingface/transformers,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ",2018-10-29T13:56:00Z,2025-11-06T21:32:35Z,"audio,deep-learning,deepseek,gemma,glm,hacktoberfest,llm,machine-learning,model-hub,natural-language-processing,nlp,pretrained-models,python,pytorch,pytorch-transformers,qwen,speech-recognition,transformer,vlm",152180,31063,23328,17588,21091,3647,2070,56.75,174.91,231
